Plate	Owner	Experiment	Genotype	Ref	Empty.Wells	Plate.Date	Plate..	Sort.Date	Production.Date	Internal.Index	External.Index	QC1	QC2	delta_CT	Libprep.Cycles	Conc...ng.ul.	Evarage.size..bp.	Sequencing.Dates	Comment	X	Last.sequensing.date	Amp.Batch.ID	Seq.Batch.ID	Batch.Set.ID	external	seq_runs	seq_batch
190908_E8.5_roni_EE02	Roni	EXE	c56bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	9/28/2019	407	09/08/2019	1/22/2020	1	4E	25	18	7.1	2+11	26.6	397	200212	E2		200212	190908_E8.5_roni_EE02	200212	190908_E8.5_roni_EE02	4E	200212	200212_4E
190908_E8.5_roni_NOVA	Roni	EXE		mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	28/08/2019	408	08/09/2019	30/12/2019	8	2B	25.2	17.3	8	2+12	5.56	326	201101	EE 01	NOVASeq external indexes	201101	190908_E8.5_roni_NOVA	201101	190908_E8.5_roni_NOVA	2B	201101	201101_2B
EXE_6_E7.5_P1_e1_e2	Roni	EXE	c56bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	09/01/2019	LUM439	10/16/2020	1/19/2020	14	4D	25.8	17.5	8.3	2+11	22.8	346	200212|200719	"e1,e2"		200719	EXE_6_E7.5_P1_e1_e2	200212|200719	EXE_6_E7.5_P1_e1_e2	4D	200212|200719	200212_200719_4D
EXE_6_E7.5_P2_e3_e4	Roni	EXE	c56bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	09/01/2019	LUM441	10/16/2020	1/19/2020	15	4D	26	18	8	2+11	19.8	450	200212|200719	"e3,e4"		200719	EXE_6_E7.5_P2_e3_e4	200212|200719	EXE_6_E7.5_P2_e3_e4	4D	200212|200719	200212_200719_4D
EXE_6_E7.5_P3_e5_e6_e7	Roni	EXE	c56bl	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	09/01/2019	LUM440	10/16/2020	1/19/2020	16	4D	26.4	21.6	4.8	2+13	21.8	410	200212|200719	"e5,e6,e7"		200719	EXE_6_E7.5_P3_e5_e6_e7	200212|200719	EXE_6_E7.5_P3_e5_e6_e7	4D	200212|200719	200212_200719_4D
EXE_EXP10_E7.0_1	Roni	EXE	EXE_EXP10_E7.0	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	12/01/2019	#NR1051	12/16/2019	12/19/2019	8	4A	25.4	19.8	5.6	2+11	19.1	364	191231|200113	e8_e9		200113	EXE_EXP10_E7.0_1	191231|200113	EXE_EXP10_E7.0_1	4A	191231|200113	191231_200113_4A
EXE_EXP10_E7.0_2	Roni	EXE	EXE_EXP10_E7.0	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	12/01/2019	#NR1042	12/16/2019	12/26/2019	9	4A	24.7	19.6	5.1	2+11	14.8	371	191231|200113	e13_e14		200113	EXE_EXP10_E7.0_2	191231|200113	EXE_EXP10_E7.0_2	4A	191231|200113	191231_200113_4A
EXE_EXP10_E7.0_NOVA	Roni	EXE		mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	01/12/2019	1050	16/12/2019	30/12/2019	4	1F	26.2	20.2	6	2+12	4.14	577	201101	e10_e11_e12	NOVASeq external indexes	201101	EXE_EXP10_E7.0_NOVA	201101	EXE_EXP10_E7.0_NOVA	1F	201101	201101_1F
EXE_EXP11_E7.5_1	Roni	EXE	EXE_EXP11_E7.5	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	12/01/2019	#NR1043	12/16/2019	12/26/2019	10	4A	24.3	18.6	5.7	2+11	40.2	317	191231|200113	e1_e2_e3		200113	EXE_EXP11_E7.5_1	191231|200113	EXE_EXP11_E7.5_1	4A	191231|200113	191231_200113_4A
EXE_EXP11_E7.5_2	Roni	EXE	EXE_EXP11_E7.5	mm10	C1 C2 D1 D2 J6 J7 K6 K7 O23 O24 P23 P24	12/01/2019	#NR1045	12/16/2019	12/26/2019	11	4A	25.1	18.2	6.9	2+11	44.6	445	191231|200113	e4		200113	EXE_EXP11_E7.5_2	191231|200113	EXE_EXP11_E7.5_2	4A	191231|200113	191231_200113_4A
