embryo	Experiment	date	GD	hr		t	Stage	max length	max width
Rab3_e5	Rabbit#3	20201020	6	14	0.208333333	6.21	2	638	487
Rab3_e6	Rabbit#3	20201020	6	14	0.208333333	6.21	2	505	363
Rab3_e7	Rabbit#3	20201020	6	14	0.208333333	6.21	1	331	286
Rab3_f1e10	Rabbit#3	20201020	6	14	0.208333333	6.21	 2-3	675	558
Rab3_f1e11	Rabbit#3	20201020	6	14	0.208333333	6.21	 1-2	524	435
Rab3_f1e12	Rabbit#3	20201020	6	14	0.208333333	6.21	2	473	418
Rab3_f1e13	Rabbit#3	20201020	6	14	0.208333333	6.21	NA	NA	NA
Rab3_f1e2	Rabbit#3	20201020	6	14	0.208333333	6.21	 2-3	670	565
Rab3_f1e3	Rabbit#3	20201020	6	14	0.208333333	6.21	NA	NA	NA
Rab3_f1e8	Rabbit#3	20201020	6	14	0.208333333	6.21	1	271	235
Rab3_f1e9	Rabbit#3	20201020	6	14	0.208333333	6.21	 1-2	432	480
Rab7_e2	Rabbit#7	20201229	6	24	0.625	6.63	3	734	549
Rab7_e3	Rabbit#7	20201229	6	24	0.625	6.63	NA	NA	NA
Rab7_e4	Rabbit#7	20201229	6	24	0.625	6.63	3	1310	1024
Rab7_e6	Rabbit#7	20201229	6	24	0.625	6.63	NA	651	587
Rab7_e7	Rabbit#7	20201229	6	24	0.625	6.63	NA	814	676
Rab1_f1e1	Rabbit#1	20200914	7	10	0.041666667	7.04	 2-3	799	614
Rab1_f1e2	Rabbit#1	20200914	7	10	0.041666667	7.04	2	629	560
Rab1_f1e3	Rabbit#1	20200914	7	10	0.041666667	7.04	2	761	598
Rab1_f1e4	Rabbit#1	20200914	7	10	0.041666667	7.04	 2-3	758	585
Rab1_f1e5	Rabbit#1	20200914	7	10	0.041666667	7.04	2	690	526
Rab1_f1e6	Rabbit#1	20200914	7	10	0.041666667	7.04	3	1183	847
Rab1_f1e7	Rabbit#1	20200914	7	10	0.041666667	7.04	3	813	675
Rab6_e1	Rabbit#6	20201129	7	12.5	0.145833333	7.15	4	1298	786
Rab6_e10	Rabbit#6	20201129	7	12.5	0.145833333	7.15	4	1523	958
Rab6_e11	Rabbit#6	20201129	7	12.5	0.145833333	7.15	4	1402	975
Rab6_e2	Rabbit#6	20201129	7	12.5	0.145833333	7.15	3+	556	414
Rab6_e3	Rabbit#6	20201129	7	12.5	0.145833333	7.15	4	1317	1070
Rab6_e5	Rabbit#6	20201129	7	12.5	0.145833333	7.15	4	1405	1067
Rab6_e6	Rabbit#6	20201129	7	12.5	0.145833333	7.15	4	1751	1146
Rab6_e7	Rabbit#6	20201129	7	12.5	0.145833333	7.15	NA	NA	NA
Rab6_e8	Rabbit#6	20201129	7	12.5	0.145833333	7.15	4	1467	909
Rab6_e9	Rabbit#6	20201129	7	12.5	0.145833333	7.15	4	1350	960
Rab1_f2e2	Rabbit#1	20200914	7	16.5	0.3125	7.31	NA	1233	547
Rab1_f2e3	Rabbit#1	20200914	7	16.5	0.3125	7.31	3+	1609	1323
Rab1_f2e4	Rabbit#1	20200914	7	16.5	0.3125	7.31	4	1171	889
Rab1_f2e5	Rabbit#1	20200914	7	16.5	0.3125	7.31	NA	NA	NA
Rab1_f2e6	Rabbit#1	20200914	7	16.5	0.3125	7.31	4	1817	901
Rab1_f2e7	Rabbit#1	20200914	7	16.5	0.3125	7.31	4	1730	805
Rab1_f2e8	Rabbit#1	20200914	7	16.5	0.3125	7.31	4	1217	805
Rab1_f2e9	Rabbit#1	20200914	7	16.5	0.3125	7.31	4	1617	913
Rab5_e1	Rabbit#5	20201125	7	24	0.625	7.63	4	1977	1051
Rab5_e2	Rabbit#5	20201125	7	24	0.625	7.63	4	2060	1227
Rab5_e3	Rabbit#5	20201125	7	24	0.625	7.63	4	703	471
Rab5_e4	Rabbit#5	20201125	7	24	0.625	7.63	5	2129	1244
Rab5_e5	Rabbit#5	20201125	7	24	0.625	7.63	4	617	369
Rab5_e6_Anterior	Rabbit#5	20201125	7	24	0.625	7.63	4	879	800
Rab5_e6_Posterior	Rabbit#5	20201125	7	24	0.625	7.63			
Rab5_e7	Rabbit#5	20201125	7	24	0.625	7.63	 4-5	1086	484
rab2_f1e1	Rabbit#2	20200929	8	10	0.041666667	8.04	6	1854	900
rab2_f1e2	Rabbit#2	20200929	8	10	0.041666667	8.04	6	1872	1007
rab2_f1e3	Rabbit#2	20200929	8	10	0.041666667	8.04	6		
rab2_f1e4	Rabbit#2	20200929	8	10	0.041666667	8.04			
rab2_f1e5	Rabbit#2	20200929	8	10	0.041666667	8.04	5?		
rab2_f1e6	Rabbit#2	20200929	8	10	0.041666667	8.04	6	1842	1127
rab2_f1e8	Rabbit#2	20200929	8	10	0.041666667	8.04			
rab2_f1e9	Rabbit#2	20200929	8	10	0.041666667	8.04			
rab2_f2e1	Rabbit#2	20200929	8	17.5	0.354166667	8.35	5	2134	1175
rab2_f2e2	Rabbit#2	20200929	8	17.5	0.354166667	8.35	5	1971	1272
rab2_f2e3	Rabbit#2	20200929	8	17.5	0.354166667	8.35	6	2599	1190
rab2_f2e4	Rabbit#2	20200929	8	17.5	0.354166667	8.35	5+	2605	1363
rab2_f2e5	Rabbit#2	20200929	8	17.5	0.354166667	8.35	6	2557	1167
Rab8_e1	Rabbit#8	20210112	8	22	0.541666667	8.54	6	2335	995
