Amp.Batch.ID	Seq.Batch.ID	Batch.Set.ID	Embryo
rab5_e6p_1	rab5_e6p_1	rab5_e6p_1	Rab5_e6_Posterior
20210824_P09	20210824_P09	20210824_P09	0824e3
aria_p07_f2e8	aria_p07_f2e8	aria_p07_f2e8	Rab1_f2e8
aria_p08_f2e8	aria_p08_f2e8	aria_p08_f2e8	Rab1_f2e8
sorp_p01_f1e5	sorp_p01_f1e5	sorp_p01_f1e5	Rab1_f1e5
sorp_p02_f1e5	sorp_p02_f1e5	sorp_p02_f1e5	Rab1_f1e5
sorp_p03_f1e5	sorp_p03_f1e5	sorp_p03_f1e5	Rab1_f1e5
sorp_p04_f1e6	sorp_p04_f1e6	sorp_p04_f1e6	Rab1_f1e6
rab2_p01_f1e1	rab2_p01_f1e1	rab2_p01_f1e1	rab2_f1e1
rab2_p02_f1e1	rab2_p02_f1e1	rab2_p02_f1e1	rab2_f1e1
rab2_p03_f1e1	rab2_p03_f1e1	rab2_p03_f1e1	rab2_f1e1
rab2_p04_f1e1	rab2_p04_f1e1	rab2_p04_f1e1	rab2_f1e1
rab2_p05_f1e3	rab2_p05_f1e3	rab2_p05_f1e3	rab2_f1e3
rab2_p06_f1e3	rab2_p06_f1e3	rab2_p06_f1e3	rab2_f1e3
rab2_p07_f1e3	rab2_p07_f1e3	rab2_p07_f1e3	rab2_f1e3
rab2_p08_f1e3	rab2_p08_f1e3	rab2_p08_f1e3	rab2_f1e3
rab2_p09_f1e6	rab2_p09_f1e6	rab2_p09_f1e6	rab2_f1e6
rab2_p10_f1e6	rab2_p10_f1e6	rab2_p10_f1e6	rab2_f1e6
rab2_p11_f1e6	rab2_p11_f1e6	rab2_p11_f1e6	rab2_f1e6
rab2_p12_f1e6	rab2_p12_f1e6	rab2_p12_f1e6	rab2_f1e6
rab2_p13_f1e9	rab2_p13_f1e9	rab2_p13_f1e9	rab2_f1e9
rab2_p14_f1e9	rab2_p14_f1e9	rab2_p14_f1e9	rab2_f1e9
rab2_p15_f1e9	rab2_p15_f1e9	rab2_p15_f1e9	rab2_f1e9
rab2_p16_f1e9	rab2_p16_f1e9	rab2_p16_f1e9	rab2_f1e9
rab2_p17_f2e1	rab2_p17_f2e1	rab2_p17_f2e1	rab2_f2e1
rab2_p18_f2e1	rab2_p18_f2e1	rab2_p18_f2e1	rab2_f2e1
rab2_p19_f2e1	rab2_p19_f2e1	rab2_p19_f2e1	rab2_f2e1
rab2_p20_f2e1	rab2_p20_f2e1	rab2_p20_f2e1	rab2_f2e1
rab2_p21_f2e4	rab2_p21_f2e4	rab2_p21_f2e4	rab2_f2e4
rab2_p22_f2e4	rab2_p22_f2e4	rab2_p22_f2e4	rab2_f2e4
rab2_p23_f2e4	rab2_p23_f2e4	rab2_p23_f2e4	rab2_f2e4
rab2_p24_f2e5	rab2_p24_f2e5	rab2_p24_f2e5	rab2_f2e5
rab2_p25_f2e5	rab2_p25_f2e5	rab2_p25_f2e5	rab2_f2e5
rab2_p26_f2e5	rab2_p26_f2e5	rab2_p26_f2e5	rab2_f2e5
sorp_p07_f1e2	sorp_p07_f1e2	sorp_p07_f1e2	rab2_f1e2
sorp_p08_f1e2	sorp_p08_f1e2	sorp_p08_f1e2	rab2_f1e2
sorp_p09_f1e2	sorp_p09_f1e2	sorp_p09_f1e2	rab2_f1e2
sorp_p10_f1e2	sorp_p10_f1e2	sorp_p10_f1e2	rab2_f1e2
sorp_p11_f1e4	sorp_p11_f1e4	sorp_p11_f1e4	rab2_f1e4
sorp_p12_f1e4	sorp_p12_f1e4	sorp_p12_f1e4	rab2_f1e4
sorp_p13_f1e4	sorp_p13_f1e4	sorp_p13_f1e4	rab2_f1e4
sorp_p14_f1e4	sorp_p14_f1e4	sorp_p14_f1e4	rab2_f1e4
sorp_p15_f1e5	sorp_p15_f1e5	sorp_p15_f1e5	rab2_f1e5
